No,スコア,Restaurant Name,教師データ
1,4534,T.Y. HARBOR BREWERY,Hot
2,4279,芋蔵 品川店,Hot
3,4192,超ごってり麺ごっつ 新小岩店,Hot
4,1258,おしお 本店,
5,1094,もん吉 本店,
6,992,もんじゃ 蔵,
7,937,おしお 和店,
8,912,もんじゃ麦 西仲店,
9,883,わらしべ,
10,846,もんじゃ近どう 本店,
11,836,もんじゃ つくしや,
12,820,もんじゃ 来る実,
13,711,いろは本店,
14,315,つくしや 十八番地,
15,308,おかめ 本店,
16,235,もんじゃ まぐろ家,
17,116,もんじゃ 能登,
18,108,はざま,
19,0,もんじゃ信濃屋,
