title,singer,lyric_writer,composer
"EGG 
","木村カエラ　
","木村カエラ　
","横山裕章　
"
"赤橙 
","ACIDMAN　
","大木伸夫　
","ACIDMAN　
"
"Wanderin&#039; Destiny 
","globe　
","小室哲哉　
","小室哲哉　
"
"Fantasy 
","LAMA　
","LAMA　
","LAMA　
"
"Hello,Again昔からある場所 
","MY LITTLE LOVER　
","KATE　
","藤井謙二　
"
"エトセトラ 
","ONE OK ROCK　
","Taka(ONE OK ROCK)　
","Alex　
"
