DocID,LDocID,restaurant_id,restaurant_name
874518,874518,1.00E+11,芋蔵 品川店
874519,874519,1.00E+11,超ごってり麺ごっつ 新小岩店
874520,874520,1.00E+11,T.Y. HARBOR BREWERY
