DocID,LDocID,restaurant_id,restaurant_name
874489,874489,1.00E+11,芋蔵 品川店
874490,874490,1.00E+11,超ごってり麺ごっつ 新小岩店
874491,874491,1.00E+11,T.Y. HARBOR BREWERY
